MATRICULA   NOMBRE                           APPAT                            APMAT                            FECHA NAC    EDAD   SEXO      LUGAR NAC              CURP
329005      MARIA                            MORENO                           LARA                             13-11-2001   21     MUJER     SAN LUIS POTOSI        MOLM011113MSPRRXA2
329006      CARMEN                           SOTO                             JIMENEZ                          26-02-2013   10     MUJER     MICHOACAN              SOJC130226MMNTMRB2
329012      MARIO                            TORRES                           ZAPATA                           18-10-1988   35     HOMBRE    SINALOA                TOZM881018HSLRPR07
329017      JULIA                            JIMENEZ                          FLORES                           11-01-1992   31     MUJER     OAXACA                 JIFJ920111MOCMLL09
329018      LAURA                            MARTINEZ                         CASTRO                           22-07-2014   9      MUJER     AGUASCALIENTES         MACL140722MASRSRB6
329019      LUIS                             LOPEZ                            MORALES                          14-11-1994   28     HOMBRE    PUEBLA                 LOML941114HPLPRS09
329025      CARLOS                           GOMEZ                            SILVA                            29-07-1998   25     HOMBRE    QUERETARO              GOSC980729HQTMLR00
329036      ANTONIO                          TORRES                           FUENTES                          08-08-1993   30     HOMBRE    DISTRITO FEDERAL       TOFA930808HDFRNN06
329041      ELENA                            DIAZ                             RODRIGUEZ                        12-10-1993   30     MUJER     OAXACA                 DIRE931012MOCZDL07
329049      ANA                              RODRIGUEZ                        ROJAS                            03-11-1994   28     MUJER     MEXICO                 RORA941103MMCDJN00
329050      FRANCISCO                        SOTO                             ROMERO                           20-08-1988   35     HOMBRE    CAMPECHE               SORF880820HCCTMR06
329062      MANUEL                           LARA                             ZAPATA                           20-04-2013   10     HOMBRE    CHIAPAS                LAZM130420HCSRPNB8
329063      JAVIER                           MORENO                           GUTIERREZ                        06-08-1984   39     HOMBRE    ZACATECAS              MOGJ840806HZSRTV02
329064      ROSA                             FERNANDEZ                        GOMEZ                            01-09-1983   40     MUJER     SINALOA                FEGR830901MSLRMS04
329067      LUISA                            LOPEZ                            CASTRO                           25-02-1991   32     MUJER     NUEVO LEON             LOCL910225MNLPSS08
329075      ANDRES                           GUTIERREZ                        CHAVEZ                           03-07-1986   37     HOMBRE    PUEBLA                 GUCA860703HPLTHN06
329086      MANUEL                           LOPEZ                            MARTINEZ                         02-11-2000   22     HOMBRE    TLAXCALA               LOMM001102HTLPRNA6
329089      LUISA                            SANCHEZ                          TORRES                           03-12-1984   38     MUJER     OAXACA                 SATL841203MOCNRS08
329098      LUIS                             RODRIGUEZ                        NUNEZ                            11-03-2017   6      HOMBRE    COLIMA                 RONL170311HCMDNSB5
330001      PATRICIA                         ACOSTA                           PEREZ                            28-03-1995   28     MUJER     MEXICO                 AOPP950328MMCCRT09
330005      DIANA                            ROMERO                           MORENO                           16-07-2001   22     MUJER     NAYARIT                ROMD010716MNTMRNA1
330011      CLARA                            GOMEZ                            YEPIZ                            28-02-2011   12     MUJER     SONORA                 GOYC110228MSRMPLB3
330015      DANIEL                           MENDOZA                          GUERRERO                         17-07-1991   32     HOMBRE    AGUASCALIENTES         MEGD910717HASNRN04
330018      LOURDES                          MORALES                          ALVAREZ                          16-01-1997   26     MUJER     NUEVO LEON             MOAL970116MNLRLR04
330031      DAVID                            PEREZ                            FLORES                           31-05-2004   19     HOMBRE    TLAXCALA               PEFD040531HTLRLVA2
330039      RAQUEL                           YEPIZ                            VARGAS                           20-10-2012   11     MUJER     EXTRANJERO             YEVR121020MNEPRQB4
330041      SOFIA                            FUENTES                          SOTO                             26-11-2011   11     MUJER     GUERRERO               FUSS111126MGRNTFB7
330044      ALEJANDRO                        YEPIZ                            CRUZ                             17-05-2003   20     HOMBRE    PUEBLA                 YECA030517HPLPRLA8
330056      ANDRES                           HERNANDEZ                        GOMEZ                            20-11-2017   5      HOMBRE    PUEBLA                 HEGA171120HPLRMNB9
330065      JOSE LUIS                        RUIZ                             REYES                            31-05-1983   40     HOMBRE    YUCATAN                RURL830531HYNZYS09
330072      DIANA                            MORALES                          DIAZ                             15-12-1983   39     MUJER     QUINTANA ROO           MODD831215MQRRZN06
330075      ISABEL                           FERNANDEZ                        MARTINEZ                         14-11-2017   5      MUJER     QUERETARO              FEMI171114MQTRRSB7
330081      JOSE                             SOTO                             ALVAREZ                          03-05-1995   28     HOMBRE    EXTRANJERO             SOAJ950503HNETLX06
330082      DAVID                            RAMIREZ                          PEREZ                            29-10-1992   31     HOMBRE    CHIHUAHUA              RAPD921029HCHMRV03
330084      MANUEL                           MORENO                           MARTINEZ                         04-07-1993   30     HOMBRE    NUEVO LEON             MOMM930704HNLRRN05
330088      JAVIER                           FLORES                           YEPIZ                            05-06-2009   14     HOMBRE    TAMAULIPAS             FOYJ090605HTSLPVA3
330090      ANTONIO                          REYES                            HERNANDEZ                        31-05-1991   32     HOMBRE    HIDALGO                REHA910531HHGYRN06
330092      MARIO                            ALVAREZ                          TORRES                           23-07-2016   7      HOMBRE    QUERETARO              AATM160723HQTLRRB3
330093      ISABEL                           FERNANDEZ                        NUNEZ                            25-09-1991   32     MUJER     SAN LUIS POTOSI        FENI910925MSPRNS05
331005      LUCIA                            HERNANDEZ                        FERNANDEZ                        16-05-1994   29     MUJER     PUEBLA                 HEFL940516MPLRRC06
331014      ANDRES                           GUTIERREZ                        VEGA                             22-03-1998   25     HOMBRE    QUERETARO              GUVA980322HQTTGN02
331019      DAVID                            SOTO                             RAMIREZ                          27-04-1986   37     HOMBRE    TABASCO                SORD860427HTCTMV04
331028      RAFAEL                           ROMERO                           LOPEZ                            06-03-1992   31     HOMBRE    TLAXCALA               ROLR920306HTLMPF02
331031      ANTONIO                          RODRIGUEZ                        LARA                             15-09-1983   40     HOMBRE    GUERRERO               ROLA830915HGRDRN00
331032      ISABEL                           ZAPATA                           MARTINEZ                         02-05-1989   34     MUJER     CHIHUAHUA              ZAMI890502MCHPRS04
331033      LUIS                             LOPEZ                            CRUZ                             25-07-2005   18     HOMBRE    SINALOA                LOCL050725HSLPRSA3
331035      ALBERTO                          REYES                            GUERRERO                         27-09-1994   29     HOMBRE    TAMAULIPAS             REGA940927HTSYRL08
331046      ALBERTO                          REYES                            SILVA                            05-02-1985   38     HOMBRE    VERACRUZ               RESA850205HVZYLL05
331047      PEDRO                            CRUZ                             RAMIREZ                          20-03-2014   9      HOMBRE    HIDALGO                CURP140320HHGRMDB4
331048      MIGUEL                           HERNANDEZ                        GUERRERO                         31-08-2015   8      HOMBRE    MORELOS                HEGM150831HMSRRGB9
331050      MIGUEL                           ALVAREZ                          CASTRO                           10-05-2012   11     HOMBRE    MICHOACAN              AACM120510HMNLSGB2
331054      JOSE                             TORRES                           RAMIREZ                          06-12-1982   40     HOMBRE    AGUASCALIENTES         TORJ821206HASRMX09
331055      PEDRO                            RUIZ                             JIMENEZ                          30-06-1989   34     HOMBRE    GUERRERO               RUJP890630HGRZMD04
331057      JAVIER                           FERNANDEZ                        HERNANDEZ                        21-06-2008   15     HOMBRE    BAJA CALIFORNIA        FEHJ080621HBCRRVA9
331060      MARIA                            SILVA                            HERNANDEZ                        24-08-1992   31     MUJER     TAMAULIPAS             SIHM920824MTSLRX09
331061      CARMEN                           HERNANDEZ                        RAMIREZ                          13-12-1993   29     MUJER     CHIHUAHUA              HERC931213MCHRMR08
331070      JULIA                            ORTEGA                           MORALES                          22-03-2019   4      MUJER     VERACRUZ               OEMJ190322MVZRRLB0
331086      RAFAEL                           FLORES                           ACOSTA                           18-04-1990   33     HOMBRE    VERACRUZ               FOAR900418HVZLCF00
331088      LAURA                            JIMENEZ                          GUERRERO                         10-07-2004   19     MUJER     MEXICO                 JIGL040710MMCMRRA0
331089      CLARA                            REYES                            GUTIERREZ                        03-01-2020   3      MUJER     EXTRANJERO             REGC200103MNEYTLC5
331092      FERNANDO                         CHAVEZ                           CHAVEZ                           07-02-1982   41     HOMBRE    YUCATAN                CACF820207HYNHHR07
331098      LOURDES                          RODRIGUEZ                        ZAPATA                           14-04-2007   16     MUJER     DISTRITO FEDERAL       ROZL070414MDFDPRA2
332004      CARLOS                           VARGAS                           REYES                            16-08-1996   27     HOMBRE    SONORA                 VARC960816HSRRYR00
332006      JULIA                            NAVARRO                          NAVARRO                          19-07-2006   17     MUJER     OAXACA                 NANJ060719MOCVVLA1
332007      DANIEL                           FERNANDEZ                        GOMEZ                            17-06-1988   35     HOMBRE    PUEBLA                 FEGD880617HPLRMN03
332013      RAQUEL                           ZAPATA                           VARGAS                           04-01-2015   8      MUJER     GUERRERO               ZAVR150104MGRPRQB7
332017      DANIEL                           VARGAS                           MORALES                          16-12-1991   31     HOMBRE    GUANAJUATO             VAMD911216HGTRRN05
332025      MARTA                            FERNANDEZ                        NUNEZ                            29-11-1988   34     MUJER     COAHUILA               FENM881129MCLRNR01
332037      SOFIA                            RUIZ                             GUERRERO                         02-01-1988   35     MUJER     BAJA CALIFORNIA SUR    RUGS880102MBSZRF07
332038      FERNANDO                         NAVARRO                          FERNANDEZ                        03-12-1986   36     HOMBRE    TLAXCALA               NAFF861203HTLVRR05
332042      JULIA                            TORRES                           SILVA                            18-04-2006   17     MUJER     GUERRERO               TOSJ060418MGRRLLA8
332049      ISABEL                           VALDEZ                           JIMENEZ                          30-09-2007   16     MUJER     CHIHUAHUA              VAJI070930MCHLMSA4
332050      CARMEN                           VARGAS                           SOTO                             22-01-2002   21     MUJER     QUERETARO              VASC020122MQTRTRA7
332051      ROSA                             VARGAS                           NAVARRO                          10-12-2006   16     MUJER     NAYARIT                VANR061210MNTRVSA0
332052      MARIA                            ROMERO                           SANCHEZ                          24-10-1988   35     MUJER     MEXICO                 ROSM881024MMCMNX00
332060      LUISA                            ACOSTA                           FERNANDEZ                        25-11-2017   5      MUJER     YUCATAN                AOFL171125MYNCRSB4
332066      ALEJANDRO                        VEGA                             CRUZ                             18-01-1997   26     HOMBRE    CHIAPAS                VECA970118HCSGRL07
332080      FRANCISCO                        LARA                             ROMERO                           04-09-1982   41     HOMBRE    GUERRERO               LARF820904HGRRMR03
332082      LUIS                             VEGA                             JIMENEZ                          01-03-2001   22     HOMBRE    SAN LUIS POTOSI        VEJL010301HSPGMSA5
332083      CARMEN                           TORRES                           NUNEZ                            27-04-1985   38     MUJER     BAJA CALIFORNIA        TONC850427MBCRNR00
332084      RAQUEL                           MARTINEZ                         VALDEZ                           11-10-2013   10     MUJER     MEXICO                 MAVR131011MMCRLQB0
332086      MARIO                            JIMENEZ                          ALVAREZ                          12-05-2015   8      HOMBRE    ZACATECAS              JIAM150512HZSMLRB4
332090      MARIO                            VARGAS                           GUTIERREZ                        16-11-2018   4      HOMBRE    HIDALGO                VAGM181116HHGRTRB5
333000      CARMEN                           VEGA                             SILVA                            04-11-2006   16     MUJER     COAHUILA               VESC061104MCLGLRA4
333004      LAURA                            SILVA                            SOTO                             01-01-1982   41     MUJER     DURANGO                SISL820101MDGLTR09
333005      PATRICIA                         RAMIREZ                          TORRES                           09-09-2009   14     MUJER     CHIHUAHUA              RATP090909MCHMRTA4
333007      CAROLINA                         ROMERO                           SANCHEZ                          10-02-1998   25     MUJER     BAJA CALIFORNIA        ROSC980210MBCMNR02
333010      LUCIA                            ROMERO                           CHAVEZ                           23-06-2008   15     MUJER     QUERETARO              ROCL080623MQTMHCA9
333014      ROBERTO                          MORENO                           FERNANDEZ                        15-08-1983   40     HOMBRE    BAJA CALIFORNIA        MOFR830815HBCRRB09
333016      JUAN                             FLORES                           RUIZ                             04-12-1984   38     HOMBRE    VERACRUZ               FORJ841204HVZLZN01
333026      MONICA                           ROMERO                           VALDEZ                           15-05-2001   22     MUJER     TAMAULIPAS             ROVM010515MTSMLNA6
333040      RAQUEL                           ALVAREZ                          HERNANDEZ                        16-08-1995   28     MUJER     AGUASCALIENTES         AAHR950816MASLRQ09
333043      JOSE                             DIAZ                             RODRIGUEZ                        16-06-2014   9      HOMBRE    QUERETARO              DIRJ140616HQTZDXB9
333049      MARIO                            JIMENEZ                          LOPEZ                            29-08-1996   27     HOMBRE    ZACATECAS              JILM960829HZSMPR07
333050      PEDRO                            CRUZ                             ALVAREZ                          22-12-2008   14     HOMBRE    MORELOS                CUAP081222HMSRLDA9
333054      LAURA                            RUIZ                             HERNANDEZ                        20-03-2001   22     MUJER     TLAXCALA               RUHL010320MTLZRRA1
333058      MARTA                            LOPEZ                            LOPEZ                            01-09-1983   40     MUJER     TAMAULIPAS             LOLM830901MTSPPR08
333060      ANTONIO                          MENDOZA                          ACOSTA                           20-11-2009   13     HOMBRE    TLAXCALA               MEAA091120HTLNCNA0
333067      MONICA                           TORRES                           VEGA                             04-04-2002   21     MUJER     EXTRANJERO             TOVM020404MNERGNA1
333073      ANTONIO                          GOMEZ                            TORRES                           03-03-1985   38     HOMBRE    QUERETARO              GOTA850303HQTMRN07
333075      ALBERTO                          GUERRERO                         MORENO                           27-10-1995   28     HOMBRE    SINALOA                GUMA951027HSLRRL04
333082      DAVID                            GONZALEZ                         ZAPATA                           13-06-1998   25     HOMBRE    YUCATAN                GOZD980613HYNNPV02
333090      JUAN                             LOPEZ                            VARGAS                           24-03-2011   12     HOMBRE    DURANGO                LOVJ110324HDGPRNB4
333097      LUISA                            FLORES                           ROMERO                           27-05-1984   39     MUJER     MORELOS                FORL840527MMSLMS05
334002      SOFIA                            ROJAS                            GUTIERREZ                        26-11-2006   16     MUJER     GUANAJUATO             ROGS061126MGTJTFA4
334007      RAFAEL                           DIAZ                             CRUZ                             16-12-1999   23     HOMBRE    NAYARIT                DICR991216HNTZRF02
334009      MARIO                            NAVARRO                          ORTEGA                           16-12-1999   23     HOMBRE    COAHUILA               NAOM991216HCLVRR02
334011      ANA                              CRUZ                             MENDOZA                          15-01-2000   23     MUJER     QUERETARO              CUMA000115MQTRNNA9
334012      JUAN                             DIAZ                             CRUZ                             13-02-2009   14     HOMBRE    TAMAULIPAS             DICJ090213HTSZRNA3
334017      CARLOS                           PEREZ                            GUTIERREZ                        15-01-1980   43     HOMBRE    EXTRANJERO             PEGC800115HNERTR02
334023      ANTONIO                          ROMERO                           GONZALEZ                         30-12-1986   36     HOMBRE    NAYARIT                ROGA861230HNTMNN09
334026      LUIS                             TORRES                           SOTO                             14-09-2004   19     HOMBRE    VERACRUZ               TOSL040914HVZRTSA0
334030      JULIA                            ROJAS                            LOPEZ                            16-12-1990   32     MUJER     EXTRANJERO             ROLJ901216MNEJPL03
334031      JOSE                             YEPIZ                            VARGAS                           30-09-2015   8      HOMBRE    CAMPECHE               YEVJ150930HCCPRXB4
334034      FRANCISCO                        GOMEZ                            YEPIZ                            22-04-1998   25     HOMBRE    NUEVO LEON             GOYF980422HNLMPR02
334036      JOSE LUIS                        CASTRO                           ALVAREZ                          12-06-2001   22     HOMBRE    TLAXCALA               CAAL010612HTLSLSA6
334038      PATRICIA                         LOPEZ                            ZAPATA                           17-05-2005   18     MUJER     COAHUILA               LOZP050517MCLPPTA9
334044      LUCIA                            ACOSTA                           MENDOZA                          12-03-1983   40     MUJER     EXTRANJERO             AOML830312MNECNC00
334045      CARLOS                           FUENTES                          DIAZ                             30-12-2010   12     HOMBRE    SINALOA                FUDC101230HSLNZRB8
334055      LOURDES                          DIAZ                             CASTRO                           18-11-2005   17     MUJER     BAJA CALIFORNIA        DICL051118MBCZSRA0
334056      JOSE                             MARTINEZ                         RODRIGUEZ                        13-02-2008   15     HOMBRE    HIDALGO                MARJ080213HHGRDXA3
334063      RAQUEL                           ORTEGA                           SANCHEZ                          14-02-1986   37     MUJER     HIDALGO                OESR860214MHGRNQ08
334068      LUISA                            HERNANDEZ                        HERNANDEZ                        17-05-2005   18     MUJER     NUEVO LEON             HEHL050517MNLRRSA5
334073      ALEJANDRO                        MENDOZA                          VEGA                             29-11-2002   20     HOMBRE    YUCATAN                MEVA021129HYNNGLA5
334075      LAURA                            SILVA                            ACOSTA                           26-10-1994   29     MUJER     NAYARIT                SIAL941026MNTLCR05
334080      LOURDES                          FERNANDEZ                        RODRIGUEZ                        16-01-2003   20     MUJER     QUERETARO              FERL030116MQTRDRA3
334088      CARMEN                           VALDEZ                           RODRIGUEZ                        04-11-1995   27     MUJER     OAXACA                 VARC951104MOCLDR07
334093      MIGUEL                           TORRES                           TORRES                           22-09-1981   42     HOMBRE    GUANAJUATO             TOTM810922HGTRRG04
334094      VALENTINA                        CASTRO                           ALVAREZ                          03-08-2017   6      MUJER     AGUASCALIENTES         CAAV170803MASSLLB9
335000      MIGUEL                           SOTO                             CRUZ                             09-02-2016   7      HOMBRE    SINALOA                SOCM160209HSLTRGB1
335017      VALENTINA                        MENDOZA                          RUIZ                             09-06-2002   21     MUJER     DISTRITO FEDERAL       MERV020609MDFNZLA2
335026      LUIS                             TORRES                           DIAZ                             20-07-1991   32     HOMBRE    JALISCO                TODL910720HJCRZS06
335027      JUAN                             VALDEZ                           MORENO                           26-08-1998   25     HOMBRE    CAMPECHE               VAMJ980826HCCLRN05
335031      JULIA                            RAMIREZ                          GUERRERO                         01-12-2006   16     MUJER     NUEVO LEON             RAGJ061201MNLMRLA8
335032      CARLOS                           TORRES                           LARA                             04-06-1989   34     HOMBRE    DURANGO                TOLC890604HDGRRR05
335033      JULIA                            YEPIZ                            HERNANDEZ                        23-05-1998   25     MUJER     EXTRANJERO             YEHJ980523MNEPRL02
335034      DANIEL                           SOTO                             FUENTES                          10-11-1985   37     HOMBRE    HIDALGO                SOFD851110HHGTNN08
335035      SOFIA                            NAVARRO                          FUENTES                          02-08-1996   27     MUJER     OAXACA                 NAFS960802MOCVNF03
335042      LAURA                            VALDEZ                           DIAZ                             22-05-1985   38     MUJER     COLIMA                 VADL850522MCMLZR06
335044      LOURDES                          RUIZ                             SANCHEZ                          05-03-1988   35     MUJER     BAJA CALIFORNIA SUR    RUSL880305MBSZNR02
335047      JUAN                             RODRIGUEZ                        SILVA                            09-03-2016   7      HOMBRE    VERACRUZ               ROSJ160309HVZDLNB2
335049      MANUEL                           LARA                             VALDEZ                           03-05-2014   9      HOMBRE    QUINTANA ROO           LAVM140503HQRRLNB4
335053      PATRICIA                         GUERRERO                         DIAZ                             26-07-2013   10     MUJER     EXTRANJERO             GUDP130726MNERZTB0
335054      VALENTINA                        CHAVEZ                           FLORES                           11-05-2017   6      MUJER     GUERRERO               CAFV170511MGRHLLB2
335062      PATRICIA                         GOMEZ                            MENDOZA                          08-10-2013   10     MUJER     GUANAJUATO             GOMP131008MGTMNTB0
335063      JUAN                             NAVARRO                          GOMEZ                            26-07-1989   34     HOMBRE    BAJA CALIFORNIA SUR    NAGJ890726HBSVMN00
335064      LOURDES                          ACOSTA                           JIMENEZ                          09-10-1996   27     MUJER     HIDALGO                AOJL961009MHGCMR01
335068      PATRICIA                         ZAPATA                           NUNEZ                            19-02-1999   24     MUJER     JALISCO                ZANP990219MJCPNT03
335071      PATRICIA                         LARA                             RAMIREZ                          17-08-2003   20     MUJER     CHIHUAHUA              LARP030817MCHRMTA1
335080      RAQUEL                           GUTIERREZ                        DIAZ                             16-08-1980   43     MUJER     VERACRUZ               GUDR800816MVZTZQ04
335093      ANDRES                           FERNANDEZ                        SOTO                             02-12-1984   38     HOMBRE    CHIHUAHUA              FESA841202HCHRTN04
336008      RAFAEL                           ACOSTA                           ROMERO                           19-12-2015   7      HOMBRE    HIDALGO                AORR151219HHGCMFB4
336009      ELENA                            SANCHEZ                          RODRIGUEZ                        18-10-2010   13     MUJER     DISTRITO FEDERAL       SARE101018MDFNDLB7
336010      MONICA                           MORENO                           FERNANDEZ                        29-08-2009   14     MUJER     CHIHUAHUA              MOFM090829MCHRRNA3
336029      LUIS                             TORRES                           PEREZ                            22-10-1982   41     HOMBRE    TAMAULIPAS             TOPL821022HTSRRS09
336031      MIGUEL                           VALDEZ                           FLORES                           09-08-2016   7      HOMBRE    CHIHUAHUA              VAFM160809HCHLLGB7
336033      CARLOS                           ROMERO                           ORTEGA                           29-08-2016   7      HOMBRE    OAXACA                 ROOC160829HOCMRRB8
336036      ANDRES                           LOPEZ                            NUNEZ                            24-03-1985   38     HOMBRE    OAXACA                 LONA850324HOCPNN00
336037      ANTONIO                          GUTIERREZ                        HERNANDEZ                        13-08-1983   40     HOMBRE    QUERETARO              GUHA830813HQTTRN03
336039      FRANCISCO                        RODRIGUEZ                        ACOSTA                           19-07-2012   11     HOMBRE    PUEBLA                 ROAF120719HPLDCRB0
336047      VALENTINA                        NAVARRO                          NUNEZ                            30-08-2012   11     MUJER     SAN LUIS POTOSI        NANV120830MSPVNLB8
336048      SOFIA                            NAVARRO                          CASTRO                           07-06-2002   21     MUJER     EXTRANJERO             NACS020607MNEVSFA7
336058      LAURA                            FUENTES                          FLORES                           07-08-1992   31     MUJER     SINALOA                FUFL920807MSLNLR00
336061      MARIO                            NAVARRO                          ROMERO                           05-04-1991   32     HOMBRE    NUEVO LEON             NARM910405HNLVMR09
336062      LUCIA                            NUNEZ                            RODRIGUEZ                        17-06-1995   28     MUJER     BAJA CALIFORNIA SUR    NURL950617MBSNDC08
336070      ANDRES                           GUTIERREZ                        ROJAS                            18-05-1986   37     HOMBRE    MORELOS                GURA860518HMSTJN00
336073      VALENTINA                        FERNANDEZ                        MARTINEZ                         07-04-1991   32     MUJER     AGUASCALIENTES         FEMV910407MASRRL03
336074      JULIA                            RAMIREZ                          GUTIERREZ                        22-07-1989   34     MUJER     YUCATAN                RAGJ890722MYNMTL05
336086      ELENA                            CHAVEZ                           ORTEGA                           04-01-1999   24     MUJER     MORELOS                CAOE990104MMSHRL05
336087      ISABEL                           ACOSTA                           DIAZ                             26-12-1986   36     MUJER     BAJA CALIFORNIA SUR    AODI861226MBSCZS02
336094      MANUEL                           REYES                            LOPEZ                            10-08-2010   13     HOMBRE    TAMAULIPAS             RELM100810HTSYPNB3
337017      LUIS                             GONZALEZ                         RAMIREZ                          01-10-2018   5      HOMBRE    EXTRANJERO             GORL181001HNENMSB6
337018      VALENTINA                        ORTEGA                           TORRES                           22-08-2014   9      MUJER     HIDALGO                OETV140822MHGRRLB9
337021      MONICA                           RODRIGUEZ                        NAVARRO                          30-03-1984   39     MUJER     COLIMA                 RONM840330MCMDVN00
337022      ALBERTO                          TORRES                           MARTINEZ                         27-02-1980   43     HOMBRE    DURANGO                TOMA800227HDGRRL00
337025      JULIA                            NUNEZ                            MARTINEZ                         01-12-1994   28     MUJER     PUEBLA                 NUMJ941201MPLNRL04
337038      MIGUEL                           DIAZ                             FLORES                           22-11-2002   20     HOMBRE    HIDALGO                DIFM021122HHGZLGA5
337047      ALEJANDRO                        VALDEZ                           RAMIREZ                          10-03-1985   38     HOMBRE    BAJA CALIFORNIA SUR    VARA850310HBSLML04
337049      DIANA                            ZAPATA                           GONZALEZ                         18-11-1999   23     MUJER     COLIMA                 ZAGD991118MCMPNN07
337053      VALENTINA                        REYES                            FERNANDEZ                        09-10-2004   19     MUJER     MICHOACAN              REFV041009MMNYRLA0
337058      MONICA                           CASTRO                           LARA                             18-05-1997   26     MUJER     SINALOA                CALM970518MSLSRN05
337059      JOSE LUIS                        MENDOZA                          MENDOZA                          18-08-1999   24     HOMBRE    JALISCO                MEML990818HJCNNS09
337064      MONICA                           CHAVEZ                           RODRIGUEZ                        08-02-2004   19     MUJER     AGUASCALIENTES         CARM040208MASHDNA8
337065      DAVID                            ORTEGA                           VARGAS                           16-01-2004   19     HOMBRE    NAYARIT                OEVD040116HNTRRVA0
337066      ROBERTO                          TORRES                           RAMIREZ                          21-10-2009   14     HOMBRE    NAYARIT                TORR091021HNTRMBA6
337072      LUISA                            ALVAREZ                          MENDOZA                          29-03-1982   41     MUJER     TABASCO                AAML820329MTCLNS01
337083      JUAN                             MARTINEZ                         FLORES                           24-05-2019   4      HOMBRE    CAMPECHE               MAFJ190524HCCRLNB1
337086      SOFIA                            CRUZ                             GONZALEZ                         09-05-1998   25     MUJER     COLIMA                 CUGS980509MCMRNF08
337089      MONICA                           ACOSTA                           FUENTES                          01-01-1988   35     MUJER     HIDALGO                AOFM880101MHGCNN04
337095      JUAN                             VEGA                             LARA                             26-07-1983   40     HOMBRE    TAMAULIPAS             VELJ830726HTSGRN06
337099      DIANA                            GOMEZ                            ORTEGA                           02-04-1981   42     MUJER     EXTRANJERO             GOOD810402MNEMRN01
338008      MARIA                            ALVAREZ                          HERNANDEZ                        09-05-2012   11     MUJER     MORELOS                AAHM120509MMSLRXB7
338010      ISABEL                           VARGAS                           FLORES                           19-04-2008   15     MUJER     EXTRANJERO             VAFI080419MNERLSA8
338015      VALENTINA                        SILVA                            JIMENEZ                          20-04-2017   6      MUJER     PUEBLA                 SIJV170420MPLLMLB7
338016      ANTONIO                          SANCHEZ                          GUERRERO                         14-11-2012   10     HOMBRE    SINALOA                SAGA121114HSLNRNB8
338018      RAFAEL                           LARA                             ALVAREZ                          12-07-1983   40     HOMBRE    CAMPECHE               LAAR830712HCCRLF02
338023      FERNANDO                         GUERRERO                         LARA                             24-09-2010   13     HOMBRE    JALISCO                GULF100924HJCRRRB5
338026      JAVIER                           TORRES                           ROMERO                           13-07-1996   27     HOMBRE    TABASCO                TORJ960713HTCRMV09
338028      LAURA                            LOPEZ                            GUERRERO                         10-03-2008   15     MUJER     TABASCO                LOGL080310MTCPRRA3
338031      ANDRES                           YEPIZ                            PEREZ                            27-07-2011   12     HOMBRE    COAHUILA               YEPA110727HCLPRNB4
338035      MANUEL                           ROJAS                            GONZALEZ                         03-08-1994   29     HOMBRE    NUEVO LEON             ROGM940803HNLJNN09
338044      LUCIA                            REYES                            RUIZ                             26-11-1980   42     MUJER     PUEBLA                 RERL801126MPLYZC05
338046      DANIEL                           LARA                             NAVARRO                          31-03-1984   39     HOMBRE    SAN LUIS POTOSI        LAND840331HSPRVN05
338052      JOSE LUIS                        VALDEZ                           DIAZ                             30-07-2008   15     HOMBRE    CHIAPAS                VADL080730HCSLZSA9
338056      PEDRO                            ROJAS                            CRUZ                             23-03-1996   27     HOMBRE    GUANAJUATO             ROCP960323HGTJRD09
338070      LOURDES                          SILVA                            VALDEZ                           24-02-2009   14     MUJER     TAMAULIPAS             SIVL090224MTSLLRA9
338074      DANIEL                           GUERRERO                         FLORES                           06-07-2014   9      HOMBRE    DURANGO                GUFD140706HDGRLNB5
338075      VALENTINA                        FUENTES                          FLORES                           21-06-2016   7      MUJER     QUINTANA ROO           FUFV160621MQRNLLB9
338077      MIGUEL                           SILVA                            RAMIREZ                          24-11-2006   16     HOMBRE    MEXICO                 SIRM061124HMCLMGA6
338082      MARIO                            GUERRERO                         MENDOZA                          08-08-1988   35     HOMBRE    COAHUILA               GUMM880808HCLRNR04
338095      MARTA                            GOMEZ                            CASTRO                           14-02-1995   28     MUJER     SONORA                 GOCM950214MSRMSR03
338097      MONICA                           VARGAS                           CRUZ                             30-05-2000   23     MUJER     CAMPECHE               VACM000530MCCRRNA9
338098      LUIS                             RAMIREZ                          REYES                            19-01-1988   35     HOMBRE    MICHOACAN              RARL880119HMNMYS01
339000      CAROLINA                         ALVAREZ                          CHAVEZ                           11-09-1990   33     MUJER     TLAXCALA               AACC900911MTLLHR01
339002      VALENTINA                        HERNANDEZ                        ZAPATA                           07-07-1990   33     MUJER     CHIHUAHUA              HEZV900707MCHRPL09
339003      LAURA                            LOPEZ                            JIMENEZ                          30-11-2001   21     MUJER     SONORA                 LOJL011130MSRPMRA6
339009      CLARA                            VEGA                             DIAZ                             16-03-1988   35     MUJER     NAYARIT                VEDC880316MNTGZL01
339022      MARTA                            FERNANDEZ                        YEPIZ                            16-09-1984   39     MUJER     SAN LUIS POTOSI        FEYM840916MSPRPR04
339029      MARIA                            DIAZ                             VALDEZ                           29-06-2012   11     MUJER     GUANAJUATO             DIVM120629MGTZLXB3
339039      LUIS                             VALDEZ                           YEPIZ                            16-07-2000   23     HOMBRE    OAXACA                 VAYL000716HOCLPSA8
339047      CLARA                            ROJAS                            FLORES                           29-06-1989   34     MUJER     TLAXCALA               ROFC890629MTLJLL07
